,sentence_level_id,audio,start_time,end_time,goldStandard,actual,repeated,runon,nonchild,annotator_id,grade,sound,title,topic,words,__id__,content,time,picture,userId,segment_time,original_audio_name,ordered_sentences,issues
0,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,3.1734557118402047,18.345426558896467,Pat had a pan.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,15.171970847056262,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
1,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,22.41030241451201,39.2403147289904,Pat and the pan sat.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,16.830012314478388,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
2,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,41.41118031428928,55.682110145675125,Pat and the pan fit.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,14.27092983138585,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
3,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,57.02277979598388,79.07180958205363,Pat tapped the pan.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,22.049029786069752,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
4,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,79.39866705878178,99.07659514926412,The pan slid.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,19.67792809048234,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
5,188964181,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,99.53641159957664,110.16,Pat grinned.,,False,False,False,75324,Kindergarten,"CVC practice short a, short i",,Alphabet,50.0,xVtZiYDJKDrpbrcttqPg,Pat had a pan. Pat and the pan sat. Pat and the pan fit. Pat tapped the pan. The pan slid. Pat grinned.,2025-03-31,images/story/img-gkZqOdIWcxNrzkR7H8ZDpAYz.png,TzE1wYChYkTUAVNeVtZjXuO8cBi2,10.623588400423358,uid_TzE1wYChYkTUAVNeVtZjXuO8cBi2_sid_xVtZiYDJKDrpbrcttqPg_1743434705.wav,"['Pat had a pan.', 'Pat and the pan sat.', 'Pat and the pan fit.', 'Pat tapped the pan.', 'The pan slid.', 'Pat grinned.']",
6,188964182,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,0.1136135754242066,2.006250537010425,Zade loved playing basketball.,,False,False,False,75324,2nd Grade,"air, are, ear /air/",Zade playing basketball,Low Frequency Spellings,200.0,BhiSjyPVnnE8LlbHAvww,"Zade loved playing basketball. Each day, he would wear his gear and head to the court near his home. The air was fresh, and Zade felt eager. One sunny day, he was determined to perfect his jump shot. He took a deep breath, focused, and leapt into the air. The ball soared and went through the hoop without touching the rim. The cheer from his friends was loud and filled Zade with pride. But during practice, he took a hard fall and tore his sneaker. His friends were there to help and show they care. Zade sat on the bench with a small tear in his eye, thinking his day was over. However, his friend Clare came to him with a sly smile. ""I have a spare pair in my bag!"" she said. Zade was thrilled. He laced up the new sneakers and returned to the game with flair. By the end of the day, Zade's team won. As they left the court, Zade felt a sense of joy. He learned that friendship and care make any tough time easier to bear.",2025-03-16,images/story/img-5ws2N12jDfYWR0LpaCfrhP3S.png,ukKF4sCANzgmD16fyjMyO7VwR2A2,1.8926369615862184,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,"['Zade loved playing basketball.', 'Each day, he would wear his gear and head to the court near his home.', 'The air was fresh, and Zade felt eager.', 'One sunny day, he was determined to perfect his jump shot.', 'He took a deep breath, focused, and leapt into the air.', 'The ball soared and went through the hoop without touching the rim.', 'The cheer from his friends was loud and filled Zade with pride.', 'But during practice, he took a hard fall and tore his sneaker.', 'His friends were there to help and show they care.', 'Zade sat on the bench with a small tear in his eye, thinking his day was over.', 'However, his friend Clare came to him with a sly smile.', '""I have a spare pair in my bag!"" she said.', 'Zade was thrilled.', 'He laced up the new sneakers and returned to the game with flair.', ""By the end of the day, Zade's team won."", 'As they left the court, Zade felt a sense of joy.', 'He learned that friendship and care make any tough time easier to bear.']","{""text"":[""The intended sentence \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said\"" feels like it should be counted as two sentences? I imagine this is probably something denoted as one sentence by the original reference sheet. I marked as one sentence in the annotations but I feel it should be two."",""M: created two separate segments for the previously combined intended utterance \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said.\"" Also cleaned up audio overlaps as well as incorrect sentence segmentation ""]}"
7,188964182,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,2.0201360979287384,8.748245307663913,"Each day, he would wear his gear and head to the court near his home.",,False,True,False,75324,2nd Grade,"air, are, ear /air/",Zade playing basketball,Low Frequency Spellings,200.0,BhiSjyPVnnE8LlbHAvww,"Zade loved playing basketball. Each day, he would wear his gear and head to the court near his home. The air was fresh, and Zade felt eager. One sunny day, he was determined to perfect his jump shot. He took a deep breath, focused, and leapt into the air. The ball soared and went through the hoop without touching the rim. The cheer from his friends was loud and filled Zade with pride. But during practice, he took a hard fall and tore his sneaker. His friends were there to help and show they care. Zade sat on the bench with a small tear in his eye, thinking his day was over. However, his friend Clare came to him with a sly smile. ""I have a spare pair in my bag!"" she said. Zade was thrilled. He laced up the new sneakers and returned to the game with flair. By the end of the day, Zade's team won. As they left the court, Zade felt a sense of joy. He learned that friendship and care make any tough time easier to bear.",2025-03-16,images/story/img-5ws2N12jDfYWR0LpaCfrhP3S.png,ukKF4sCANzgmD16fyjMyO7VwR2A2,6.728109209735175,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,"['Zade loved playing basketball.', 'Each day, he would wear his gear and head to the court near his home.', 'The air was fresh, and Zade felt eager.', 'One sunny day, he was determined to perfect his jump shot.', 'He took a deep breath, focused, and leapt into the air.', 'The ball soared and went through the hoop without touching the rim.', 'The cheer from his friends was loud and filled Zade with pride.', 'But during practice, he took a hard fall and tore his sneaker.', 'His friends were there to help and show they care.', 'Zade sat on the bench with a small tear in his eye, thinking his day was over.', 'However, his friend Clare came to him with a sly smile.', '""I have a spare pair in my bag!"" she said.', 'Zade was thrilled.', 'He laced up the new sneakers and returned to the game with flair.', ""By the end of the day, Zade's team won."", 'As they left the court, Zade felt a sense of joy.', 'He learned that friendship and care make any tough time easier to bear.']","{""text"":[""The intended sentence \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said\"" feels like it should be counted as two sentences? I imagine this is probably something denoted as one sentence by the original reference sheet. I marked as one sentence in the annotations but I feel it should be two."",""M: created two separate segments for the previously combined intended utterance \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said.\"" Also cleaned up audio overlaps as well as incorrect sentence segmentation ""]}"
8,188964182,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,8.760306278952708,16.325101990487262,"The air was fresh, and Zade felt eager.",,False,False,False,75324,2nd Grade,"air, are, ear /air/",Zade playing basketball,Low Frequency Spellings,200.0,BhiSjyPVnnE8LlbHAvww,"Zade loved playing basketball. Each day, he would wear his gear and head to the court near his home. The air was fresh, and Zade felt eager. One sunny day, he was determined to perfect his jump shot. He took a deep breath, focused, and leapt into the air. The ball soared and went through the hoop without touching the rim. The cheer from his friends was loud and filled Zade with pride. But during practice, he took a hard fall and tore his sneaker. His friends were there to help and show they care. Zade sat on the bench with a small tear in his eye, thinking his day was over. However, his friend Clare came to him with a sly smile. ""I have a spare pair in my bag!"" she said. Zade was thrilled. He laced up the new sneakers and returned to the game with flair. By the end of the day, Zade's team won. As they left the court, Zade felt a sense of joy. He learned that friendship and care make any tough time easier to bear.",2025-03-16,images/story/img-5ws2N12jDfYWR0LpaCfrhP3S.png,ukKF4sCANzgmD16fyjMyO7VwR2A2,7.564795711534554,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,"['Zade loved playing basketball.', 'Each day, he would wear his gear and head to the court near his home.', 'The air was fresh, and Zade felt eager.', 'One sunny day, he was determined to perfect his jump shot.', 'He took a deep breath, focused, and leapt into the air.', 'The ball soared and went through the hoop without touching the rim.', 'The cheer from his friends was loud and filled Zade with pride.', 'But during practice, he took a hard fall and tore his sneaker.', 'His friends were there to help and show they care.', 'Zade sat on the bench with a small tear in his eye, thinking his day was over.', 'However, his friend Clare came to him with a sly smile.', '""I have a spare pair in my bag!"" she said.', 'Zade was thrilled.', 'He laced up the new sneakers and returned to the game with flair.', ""By the end of the day, Zade's team won."", 'As they left the court, Zade felt a sense of joy.', 'He learned that friendship and care make any tough time easier to bear.']","{""text"":[""The intended sentence \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said\"" feels like it should be counted as two sentences? I imagine this is probably something denoted as one sentence by the original reference sheet. I marked as one sentence in the annotations but I feel it should be two."",""M: created two separate segments for the previously combined intended utterance \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said.\"" Also cleaned up audio overlaps as well as incorrect sentence segmentation ""]}"
9,188964182,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,16.6153531337708,25.06326925306517,"One sunny day, he was determined to perfect his jump shot.",,False,False,False,75324,2nd Grade,"air, are, ear /air/",Zade playing basketball,Low Frequency Spellings,200.0,BhiSjyPVnnE8LlbHAvww,"Zade loved playing basketball. Each day, he would wear his gear and head to the court near his home. The air was fresh, and Zade felt eager. One sunny day, he was determined to perfect his jump shot. He took a deep breath, focused, and leapt into the air. The ball soared and went through the hoop without touching the rim. The cheer from his friends was loud and filled Zade with pride. But during practice, he took a hard fall and tore his sneaker. His friends were there to help and show they care. Zade sat on the bench with a small tear in his eye, thinking his day was over. However, his friend Clare came to him with a sly smile. ""I have a spare pair in my bag!"" she said. Zade was thrilled. He laced up the new sneakers and returned to the game with flair. By the end of the day, Zade's team won. As they left the court, Zade felt a sense of joy. He learned that friendship and care make any tough time easier to bear.",2025-03-16,images/story/img-5ws2N12jDfYWR0LpaCfrhP3S.png,ukKF4sCANzgmD16fyjMyO7VwR2A2,8.447916119294373,uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812.wav,"['Zade loved playing basketball.', 'Each day, he would wear his gear and head to the court near his home.', 'The air was fresh, and Zade felt eager.', 'One sunny day, he was determined to perfect his jump shot.', 'He took a deep breath, focused, and leapt into the air.', 'The ball soared and went through the hoop without touching the rim.', 'The cheer from his friends was loud and filled Zade with pride.', 'But during practice, he took a hard fall and tore his sneaker.', 'His friends were there to help and show they care.', 'Zade sat on the bench with a small tear in his eye, thinking his day was over.', 'However, his friend Clare came to him with a sly smile.', '""I have a spare pair in my bag!"" she said.', 'Zade was thrilled.', 'He laced up the new sneakers and returned to the game with flair.', ""By the end of the day, Zade's team won."", 'As they left the court, Zade felt a sense of joy.', 'He learned that friendship and care make any tough time easier to bear.']","{""text"":[""The intended sentence \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said\"" feels like it should be counted as two sentences? I imagine this is probably something denoted as one sentence by the original reference sheet. I marked as one sentence in the annotations but I feel it should be two."",""M: created two separate segments for the previously combined intended utterance \""However, his friend Clare came to him with a sly smile. \""I have a spare pair in my bag!\"" she said.\"" Also cleaned up audio overlaps as well as incorrect sentence segmentation ""]}"
